time (hr),od-sensors-3.od-680_E21,od-sensors-6.od-680_E22,od-sensors-2.od-680_F21,od-sensors-5.od-680_F22,od-sensors-1.od-680_G21,od-sensors-7.od-680_G23,od-sensors-7.od-680_H21,od-sensors-8.od-680_H22
17.916667,0.029002,0.018239333,0.017503333,0.010559333,0.014566,0.014781961,0.025234667,0.01846
18,0.029314,0.018209333,0.017531333,0.010615333,0.014708,0.014935791,0.024968667,0.01846
18.083333,0.02988,0.018385333,0.017617333,0.010671333,0.014708,0.014561655,0.024998667,0.01888
18.166667,0.029966,0.018445333,0.017501333,0.010755333,0.014708,0.014394246,0.025174667,0.01901
18.25,0.030306,0.018503333,0.017645333,0.010727333,0.01485,0.014938842,0.025262667,0.01874
18.333333,0.03073,0.018621333,0.017531333,0.011223333,0.015136,0.015462334,0.025734667,0.01874
18.416667,0.030814,0.018973333,0.017849333,0.011389333,0.015278,0.015585837,0.026118667,0.0186
18.5,0.03087,0.019237333,0.017849333,0.011775333,0.015562,0.015892583,0.026236667,0.01943
18.583333,0.031096,0.019707333,0.018225333,0.012051333,0.015846,0.016036911,0.026620667,0.01929
18.666667,0.031352,0.019883333,0.018369333,0.012521333,0.016132,0.016180321,0.026768667,0.02081
18.75,0.031778,0.020501333,0.018773333,0.012605333,0.016132,0.015837442,0.026944667,0.02026
18.833333,0.031892,0.020913333,0.019063333,0.012797333,0.016276,0.016330677,0.027062667,0.0197
18.916667,0.032234,0.021209333,0.019323333,0.012797333,0.01642,0.016263898,0.027744667,0.02095
19,0.032832,0.021121333,0.019409333,0.013129333,0.016564,0.016428379,0.028100667,0.0222
19.083333,0.032974,0.021357333,0.019583333,0.013073333,0.016706,0.016482701,0.028426667,0.02122
19.166667,0.032918,0.021357333,0.019439333,0.013435333,0.016848,0.017043435,0.028752667,0.02386
19.25,0.033518,0.021447333,0.019409333,0.013741333,0.01699,0.016710902,0.029436667,0.02206
19.333333,0.033888,0.021535333,0.019787333,0.013935333,0.017276,0.016884762,0.029554667,0.02192
19.416667,0.034204,0.021947333,0.019961333,0.013963333,0.017562,0.017707896,0.030150667,0.02122
19.5,0.03492,0.022153333,0.020513333,0.014241333,0.017994,0.018377122,0.030626667,0.02373
19.583333,0.035234,0.022329333,0.021005333,0.014213333,0.018138,0.017761888,0.030984667,0.02442
19.666667,0.035348,0.022535333,0.021297333,0.014241333,0.01857,0.018344155,0.031134667,0.02233
19.75,0.03578,0.022831333,0.021327333,0.014381333,0.018858,0.01931536,0.031522667,0.0222
19.833333,0.035982,0.023069333,0.021415333,0.014409333,0.019146,0.019106552,0.031344667,0.02386
19.916667,0.035896,0.023483333,0.021445333,0.014575333,0.019146,0.019469703,0.031494667,0.02331
20,0.036268,0.023959333,0.021561333,0.014547333,0.01929,0.019261997,0.032092667,0.02428
20.083333,0.036642,0.024079333,0.021881333,0.014519333,0.019434,0.019434,0.032300667,0.02359
20.166667,0.036814,0.024049333,0.022085333,0.014463333,0.019434,0.020019833,0.032510667,0.0247
20.25,0.037072,0.024049333,0.022609333,0.014435333,0.019434,0.020137333,0.032808667,0.02359
20.333333,0.03759,0.024049333,0.022695333,0.014435333,0.019578,0.020465333,0.033256667,0.0247
20.416667,0.038052,0.024019333,0.022871333,0.014545333,0.019722,0.020887333,0.033076667,0.02554
20.5,0.038514,0.024167333,0.022725333,0.014629333,0.019578,0.021215333,0.033196667,0.02526
20.583333,0.03886,0.024465333,0.022841333,0.014797333,0.019722,0.021073333,0.033076667,0.02582
20.666667,0.039324,0.024851333,0.022901333,0.015075333,0.019866,0.021165333,0.033588667,0.02624
20.75,0.03944,0.024971333,0.022989333,0.015021333,0.019866,0.021633333,0.033680667,0.02512
20.833333,0.03944,0.025089333,0.023019333,0.014993333,0.02001,0.021679333,0.034192667,0.02568
20.916667,0.039468,0.025207333,0.023399333,0.015383333,0.020154,0.022055333,0.034434667,0.02554
